Tarih,Gün,Ürün Adı,Birim,En Düşük Fiyat,En Yüksek Fiyat
03.05.2021,Pazartesi,KEREVİZ,Kg,2,4
03.05.2021,Pazartesi,LAHANA (BEYAZ),Kg,"0,7","1,8"
03.05.2021,Pazartesi,LAHANA (MOR),Kg,1,2
03.05.2021,Pazartesi,MANTAR (KÜLTÜR),Kg,7,14
03.05.2021,Pazartesi,MARUL (AYSBERK),Adet,3,4
03.05.2021,Pazartesi,MARUL (MOR),Adet,"2,5","3,5"
03.05.2021,Pazartesi,MARUL (MUHTELİF),Adet,"2,5",4
03.05.2021,Pazartesi,MAYDONOZ,Bağ,"0,5","1,1"
03.05.2021,Pazartesi,NANE (BAĞ),Bağ,"0,7","1,2"
03.05.2021,Pazartesi,PANCAR (KIRMIZI),Kg,"1,5","2,5"
03.05.2021,Pazartesi,PATATES,Kg,"0,8","1,7"
03.05.2021,Pazartesi,PATATES (TAZE),Kg,"1,5","2,5"
03.05.2021,Pazartesi,PATLICAN (KEMER),Kg,"1,5","3,5"
03.05.2021,Pazartesi,PATLICAN (TOPAK),Kg,"1,5","3,5"
03.05.2021,Pazartesi,PIRASA,Kg,1,2
03.05.2021,Pazartesi,ROKA (BAĞ),Bağ,"0,5","1,2"
03.05.2021,Pazartesi,SALATALIK (SİLOR),Kg,"1,5",3
03.05.2021,Pazartesi,SALATALIK (MUHTELİF),Kg,1,"2,5"
03.05.2021,Pazartesi,SARIMSAK (KURU),Kg,15,30
03.05.2021,Pazartesi,SEMİZ OTU (BAĞ),Bağ,1,2
03.05.2021,Pazartesi,SOGAN (KURU),Kg,"0,8","1,5"
03.05.2021,Pazartesi,SOGAN (KIRMIZI),Kg,3,"4,5"
03.05.2021,Pazartesi,SOGAN (YEŞİL),Kg,3,5
03.05.2021,Pazartesi,TERE,Bağ,"0,5","1,2"
03.05.2021,Pazartesi,TURP (MUHTELİF),Kg,"1,5",3
06.05.2021,Perşembe,BİBER (ÇARLİ),Kg,2,"3,5"
06.05.2021,Perşembe,BİBER (DOLMA),Kg,"2,5","4,5"
06.05.2021,Perşembe,BİBER (KIL),Kg,"2,5","4,5"
06.05.2021,Perşembe,BİBER (KAPYA),Kg,7,13
06.05.2021,Perşembe,BİBER (SİVRİ),Kg,"2,5",4
06.05.2021,Perşembe,BİBER (KÖY),Kg,"2,5",4
06.05.2021,Perşembe,DOMATES (MUHTELİF),Kg,"2,5","4,5"
06.05.2021,Perşembe,KABAK (BEYAZ),Kg,"1,5","3,5"
06.05.2021,Perşembe,BAKLA,Kg,3,"5,5"
06.05.2021,Perşembe,BİBER (CİN),Kg,10,15
06.05.2021,Perşembe,BROKOLİ,Kg,6,9
06.05.2021,Perşembe,DERE OTU,Bağ,"0,5",1
06.05.2021,Perşembe,DOMATES (Çeri),Kg,5,8
06.05.2021,Perşembe,DOMATES (SALKIM),Kg,3,"6,5"
06.05.2021,Perşembe,DOMATES (KÖY),Kg,3,"5,5"
06.05.2021,Perşembe,FASULYE (MUHTELİF),Kg,4,8
06.05.2021,Perşembe,FESLEĞEN (REYHAN),Bağ,1,2
06.05.2021,Perşembe,HAVUÇ,Kg,1,"2,5"
06.05.2021,Perşembe,ISPANAK,Kg,"1,5",3
06.05.2021,Perşembe,KABAK (BAL),Kg,1,2
06.05.2021,Perşembe,KABAK (KARA),Kg,"1,5",3
06.05.2021,Perşembe,KARNABAHAR,Kg,1,"2,5"
06.05.2021,Perşembe,KEREVİZ,Kg,2,4
06.05.2021,Perşembe,LAHANA (BEYAZ),Kg,"0,7","1,8"
06.05.2021,Perşembe,LAHANA (MOR),Kg,1,2
06.05.2021,Perşembe,MANTAR (KÜLTÜR),Kg,7,14
06.05.2021,Perşembe,MARUL (AYSBERK),Adet,3,4
06.05.2021,Perşembe,MARUL (MOR),Adet,"2,5","3,5"
